hhPersonID,ST_WOTAG_str,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
201649__2,THU,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,SHOPPING,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
201651__2,SAT,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
201665__1,SUN,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
201666__1,MON,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,WORK,WORK,WORK,WORK,WORK,WORK,SHOPPING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
201666__2,MON,HOME,HOME,HOME,HOME,HOME,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
201671__1,TUE,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,WORK,WORK,WORK,WORK,WORK,LEISURE,LEISURE,DRIVING,DRIVING,HOME,HOME,HOME,LEISURE,LEISURE,HOME,HOME
201671__3,TUE,HOME,HOME,HOME,HOME,HOME,HOME,HOME,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,DRIVING,HOME,HOME,HOME,HOME,HOME,HOME
201681__5,SAT,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
201721__4,SAT,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,SHOPPING,SHOPPING,SHOPPING,DRIVING,HOME,HOME,HOME,WORK,WORK,WORK,DRIVING,HOME,HOME
201728__1,FRI,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,SHOPPING,SHOPPING,HOME,SHOPPING,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME,HOME
